LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000002,2012-10-12,0.1385,0.15430434782608698,0.8859999999999999,46,0.19603388250959938,7.098000000000001,0.0
MAC000002,2012-10-13,0.18,0.2309791666666667,0.9329999999999999,48,0.19232900552243343,11.087000000000002,0.076
MAC000002,2012-10-14,0.158,0.27547916666666666,1.085,48,0.2746472390899211,13.223,0.07
MAC000002,2012-10-15,0.131,0.21368750000000003,1.1640000000000001,48,0.2244834407246434,10.257000000000001,0.07
MAC000002,2012-10-16,0.14500000000000002,0.20352083333333335,0.991,48,0.18411524947340044,9.769,0.087
MAC000002,2012-10-17,0.148,0.22677083333333337,0.784,48,0.1844085703901349,10.885000000000002,0.067
MAC000002,2012-10-18,0.166,0.22397916666666665,0.897,48,0.17424530148228526,10.751,0.102
MAC000002,2012-10-19,0.134,0.17564583333333336,0.8220000000000001,48,0.12222990015911736,8.431000000000001,0.07200000000000001
MAC000002,2012-10-20,0.23099999999999998,0.36204166458333326,1.4529999,48,0.29492154378551255,17.377999899999995,0.073
MAC000002,2012-10-21,0.385,0.5102083354166667,2.1600001,48,0.33551923072084977,24.4900001,0.23199999999999998
MAC000002,2012-10-22,0.39349999999999996,0.39343749999999994,1.126,48,0.19988155069568236,18.884999999999998,0.094
MAC000002,2012-10-23,0.1615,0.21843749999999995,0.6709999999999999,48,0.1507257487285674,10.484999999999998,0.07
MAC000002,2012-10-24,0.186,0.32368750208333325,1.8890001,48,0.32960603903662794,15.537000099999997,0.076
MAC000002,2012-10-25,0.176,0.27349999999999997,0.917,48,0.20554639171957306,13.127999999999998,0.073
MAC000002,2012-10-26,0.1885,0.3138541666666666,0.9620000000000001,48,0.25519529355889375,15.064999999999998,0.07200000000000001
MAC000002,2012-10-27,0.319,0.35179166666666667,1.228,48,0.2563256703702931,16.886,0.075
MAC000002,2012-10-28,0.313,0.40893749791666667,1.173,48,0.3206725872781288,19.6289999,0.07200000000000001
MAC000002,2012-10-29,0.1755,0.26622916666666674,1.058,48,0.24881183521683933,12.779000000000003,0.073
MAC000002,2012-10-30,0.22749999999999998,0.2908541666666668,0.893,48,0.2257790286308796,13.961000000000006,0.07
MAC000002,2012-10-31,0.2685,0.37129166875,1.4450001000000001,48,0.3183774733894966,17.8220001,0.085
MAC000002,2012-11-01,0.20500000000000002,0.2543541666666666,0.9640000000000001,48,0.15568127418288197,12.208999999999998,0.127
MAC000002,2012-11-02,0.26,0.3096595744680851,1.284,47,0.21113474747449631,14.554,0.136
MAC000002,2012-11-03,0.2665,0.2988958333333334,1.137,48,0.18476359128118441,14.347000000000003,0.139
MAC000002,2012-11-04,0.2675,0.30222916458333327,1.1109999,48,0.20354069682521958,14.506999899999997,0.127
MAC000002,2012-11-05,0.2025,0.31447916458333336,1.0779999,48,0.23969962703627637,15.094999900000001,0.132
MAC000002,2012-11-06,0.179,0.24297916666666683,1.156,48,0.2120563443374399,11.663000000000007,0.075
MAC000002,2012-11-07,0.194,0.2736874999999999,1.219,48,0.25404306522588194,13.136999999999997,0.073
MAC000002,2012-11-08,0.18600000000000003,0.18600000000000003,0.18600000000000003,1,,0.18600000000000003,0.18600000000000003
MAC000002,2012-11-09,0.243,0.35578723404255325,1.714,47,0.3408891147120126,16.722,0.078
MAC000002,2012-11-10,0.216,0.27593750000000006,1.062,48,0.22756270178717963,13.245000000000003,0.07400000000000001
MAC000002,2012-11-11,0.185,0.22289583333333338,1.149,48,0.1766894426138859,10.699000000000002,0.07400000000000001
MAC000002,2012-11-12,0.20500000000000002,0.2566875,1.124,48,0.22312091524361613,12.321,0.07400000000000001
MAC000002,2012-11-13,0.17300000000000001,0.21383333333333332,0.907,48,0.15489259605306102,10.264,0.075
MAC000002,2012-11-14,0.1745,0.22541666666666663,1.1540000000000001,48,0.1814445385438093,10.819999999999999,0.076
MAC000002,2012-11-15,0.154,0.2043333333333334,0.9620000000000001,48,0.1550635193572653,9.808000000000003,0.075
MAC000002,2012-11-16,0.217,0.27325000000000005,1.341,48,0.2313035676887235,13.116000000000003,0.07400000000000001
MAC000002,2012-11-17,0.162,0.20354166666666665,0.8059999999999999,48,0.14339114164949696,9.77,0.075
MAC000002,2012-11-18,0.23099999999999998,0.28706249999999994,1.207,48,0.23328171319836874,13.778999999999998,0.075
MAC000002,2012-11-19,0.136,0.21139583333333334,0.7959999999999999,48,0.15959759764407128,10.147,0.075
MAC000002,2012-11-20,0.198,0.23377083333333334,1.188,48,0.19012730780652962,11.221,0.077
MAC000002,2012-11-21,0.1965,0.2216041666666666,1.1740000000000002,48,0.18438324329450717,10.636999999999997,0.08
MAC000002,2012-11-22,0.1405,0.19666666666666663,0.971,48,0.14793893699095645,9.439999999999998,0.073
MAC000002,2012-11-23,0.15650000000000003,0.2093958333333333,1.011,48,0.17689734246026295,10.050999999999998,0.073
MAC000002,2012-11-24,0.1945,0.2296458333333334,1.0859999999999999,48,0.17763175985709614,11.023000000000003,0.073
MAC000002,2012-11-25,0.193,0.21968750000000004,0.917,48,0.16530335186649384,10.545000000000002,0.075
MAC000002,2012-11-26,0.136,0.20574999999999996,1.097,48,0.170666715148486,9.875999999999998,0.07400000000000001
MAC000002,2012-11-27,0.1935,0.22870833333333332,1.02,48,0.18592310905928155,10.978,0.073
